date,adj_close
2003-04-14,7.199283
2003-04-15,7.284818
2003-04-16,7.368929
2003-04-17,7.421676
2003-04-21,7.418826
2003-04-22,7.443776
2003-04-23,7.478703
2003-04-24,7.331151
2003-04-25,7.209975
2003-04-28,7.329013
2003-04-29,7.537864
2003-04-30,7.516482
2003-05-01,7.487254
2003-05-02,7.602015
2003-05-05,7.68399
2003-05-06,7.72319
2003-05-07,7.708936
2003-05-08,7.641217
2003-05-09,7.731032
2003-05-12,7.838666
2003-05-13,7.794469
2003-05-14,7.755268
2003-05-15,7.770948
2003-05-16,7.776655
2003-05-19,7.591323
2003-05-20,7.629104
2003-05-21,7.635519
2003-05-22,7.70466
2003-05-23,7.783779
2003-05-27,8.062487
2003-05-28,8.097409
2003-05-29,8.108106
2003-05-30,8.202195
2003-06-02,8.261356
2003-06-03,8.19863
2003-06-04,8.304122
2003-06-05,8.31268
2003-06-06,8.390371
2003-06-09,8.318381
2003-06-10,8.403915
2003-06-11,8.411044
2003-06-12,8.474482
2003-06-13,8.471631
2003-06-16,8.562872
2003-06-17,8.738932
2003-06-18,8.706856
2003-06-19,8.706856
2003-06-20,8.706856
2003-06-23,8.493017
2003-06-24,8.430289
2003-06-25,8.500144
2003-06-26,8.592098
2003-06-27,8.552178
2003-06-30,8.546475
2003-07-01,8.63914
2003-07-02,8.842289
2003-07-03,8.867234
2003-07-07,9.086778
2003-07-08,9.112439
2003-07-09,9.091058
2003-07-10,8.931387
2003-07-11,9.006231
2003-07-14,9.164477
2003-07-15,9.048999
2003-07-16,9.056129
2003-07-17,8.819479
2003-07-18,8.937094
2003-07-21,8.818766
2003-07-22,8.924259
2003-07-23,8.867234
2003-07-24,8.910005
2003-07-25,9.056129
2003-07-28,9.106026
2003-07-29,9.054704
2003-07-30,8.98841
2003-07-31,9.03118
2003-08-01,9.051137
2003-08-04,9.011221
2003-08-05,8.91428
2003-08-06,8.874364
2003-08-07,8.93923
2003-08-08,8.999105
2003-08-11,9.038307
2003-08-12,9.073949
2003-08-13,9.202251
2003-08-14,9.323427
2003-08-15,9.230762
2003-08-18,9.427497
2003-08-19,9.473829
2003-08-20,9.475257
2003-08-21,9.649178
2003-08-22,9.698359
2003-08-25,9.622805
2003-08-26,9.50519
2003-08-27,9.615676
2003-08-28,9.682678
2003-08-29,9.752531
2003-09-02,9.897236
