date,adj_close
2003-01-02,52.214924
2003-01-03,52.221329
2003-01-06,52.189472
2003-01-07,52.227715
2003-01-08,52.272297
2003-01-09,52.176754
2003-01-10,52.246754
2003-01-13,52.234085
2003-01-14,52.253181
2003-01-15,52.272297
2003-01-16,52.304127
2003-01-17,52.291428
2003-01-21,52.355011
2003-01-22,52.393227
2003-01-23,52.361431
2003-01-24,52.355011
2003-01-27,52.355011
2003-01-28,52.367775
2003-01-29,52.323193
2003-01-30,52.386929
2003-01-31,52.374172
2003-02-03,52.343582
2003-02-04,52.400909
2003-02-05,52.381813
2003-02-06,52.407333
2003-02-07,52.451977
2003-02-10,52.41367
2003-02-11,52.432774
2003-02-12,52.47747
2003-02-13,52.522102
2003-02-14,52.47747
2003-02-18,52.458355
2003-02-19,52.483833
2003-02-20,52.515766
2003-02-21,52.471069
2003-02-24,52.496616
2003-02-25,52.528473
2003-02-26,52.553997
2003-02-27,52.553997
2003-02-28,52.579483
2003-03-03,52.596745
2003-03-04,52.590336
2003-03-05,52.635117
2003-03-06,52.654182
2003-03-07,52.705334
2003-03-10,52.756363
2003-03-11,52.711643
2003-03-12,52.673363
2003-03-13,52.51371
2003-03-14,52.564819
2003-03-17,52.500912
2003-03-18,52.456261
2003-03-19,52.443523
2003-03-20,52.507362
2003-03-21,52.373299
2003-03-24,52.488201
2003-03-25,52.488201
2003-03-26,52.552063
2003-03-27,52.564819
2003-03-28,52.635117
2003-03-31,52.673363
2003-04-01,52.661831
2003-04-02,52.60429
2003-04-03,52.636288
2003-04-04,52.623516
2003-04-07,52.591557
2003-04-08,52.642651
2003-04-09,52.674652
2003-04-10,52.60429
2003-04-11,52.578743
2003-04-14,52.533974
2003-04-15,52.572296
2003-04-16,52.578743
2003-04-17,52.533974
2003-04-21,52.565937
2003-04-22,52.559563
2003-04-23,52.597931
2003-04-24,52.649052
2003-04-25,52.700249
2003-04-28,52.687431
2003-04-29,52.649052
2003-04-30,52.757778
2003-05-01,52.757763
2003-05-02,52.700142
2003-05-05,52.738556
2003-05-06,52.81538
