date,adj_close
2003-01-02,17.562986
2003-01-03,17.58036
2003-01-06,17.797504
2003-01-07,17.51956
2003-01-08,17.281561
2003-01-09,17.493494
2003-01-10,17.470911
2003-01-13,17.507401
2003-01-14,17.641155
2003-01-15,17.472651
2003-01-16,17.545616
2003-01-17,17.361473
2003-01-21,17.055725
2003-01-22,16.815992
2003-01-23,16.934122
2003-01-24,16.755192
2003-01-27,16.308733
2003-01-28,16.378218
2003-01-29,16.338266
2003-01-30,16.327843
2003-01-31,16.459867
2003-02-03,16.718714
2003-02-04,16.477243
2003-02-05,16.505039
2003-02-06,16.345217
2003-02-07,16.108957
2003-02-10,16.164549
2003-02-11,16.242725
2003-02-12,16.070744
2003-02-13,16.306999
2003-02-14,16.461607
2003-02-18,16.703074
2003-02-19,16.31221
2003-02-20,16.329582
2003-02-21,16.433815
2003-02-24,16.234034
2003-02-25,16.03426
2003-02-26,15.843168
2003-02-27,15.865751
2003-02-28,16.112432
2003-03-03,16.181923
2003-03-04,15.947398
2003-03-05,15.973455
2003-03-06,15.791053
2003-03-07,15.676397
2003-03-10,15.242097
2003-03-11,15.19172
2003-03-12,15.016266
2003-03-13,15.445344
2003-03-14,15.52179
2003-03-17,15.959558
2003-03-18,16.027313
2003-03-19,16.112432
2003-03-20,16.21493
2003-03-21,16.607531
2003-03-24,16.069004
2003-03-25,16.247927
2003-03-26,16.256622
2003-03-27,16.147177
2003-03-28,16.042948
2003-03-31,15.738935
2003-04-01,15.983883
2003-04-02,16.247927
2003-04-03,16.1576
2003-04-04,16.374748
2003-04-07,16.586683
2003-04-08,16.590162
2003-04-09,16.527618
2003-04-10,16.442497
2003-04-11,16.348692
2003-04-14,16.597109
2003-04-15,16.824686
2003-04-16,16.713499
2003-04-17,16.954967
2003-04-21,16.895906
2003-04-22,17.14085
2003-04-23,17.291986
2003-04-24,17.156481
2003-04-25,16.852476
2003-04-28,17.151276
2003-04-29,17.25029
2003-04-30,17.338888
2003-05-01,17.41011
2003-05-02,17.561249
2003-05-05,17.695017
2003-05-06,18.068501
2003-05-07,17.901733
2003-05-08,17.632471
2003-05-09,17.854836
2003-05-12,17.997284
2003-05-13,17.995543
2003-05-14,18.000753
2003-05-15,18.032026
2003-05-16,18.254389
2003-05-19,17.761024
2003-05-20,17.938219
2003-05-21,17.752342
2003-05-22,17.990335
2003-05-23,18.092829
2003-05-27,18.249174
2003-05-28,18.336031
2003-05-29,18.422894
2003-05-30,18.457632
2003-06-02,18.629614
2003-06-03,18.674786
2003-06-04,18.787704
2003-06-05,18.977053
2003-06-06,19.091705
2003-06-09,18.954475
2003-06-10,19.107349
2003-06-11,19.421782
2003-06-12,19.473896
2003-06-13,19.360975
2003-06-16,19.644146
2003-06-17,19.684097
2003-06-18,19.628504
2003-06-19,19.395723
2003-06-20,19.421782
2003-06-23,19.206362
2003-06-24,19.055225
2003-06-25,18.865877
2003-06-26,18.95274
2003-06-27,18.810289
2003-06-30,18.8155
2003-07-01,18.92668
2003-07-02,19.300171
2003-07-03,19.195938
2003-07-07,19.548594
2003-07-08,19.45652
2003-07-09,19.355766
2003-07-10,19.256746
2003-07-11,19.215054
2003-07-14,19.421782
2003-07-15,19.239368
2003-07-16,19.095188
2003-07-17,18.796391
2003-07-18,19.091705
2003-07-21,18.945786
2003-07-22,18.900621
2003-07-23,19.180311
2003-07-24,19.211578
2003-07-25,19.453053
2003-07-28,19.503429
2003-07-29,19.421782
2003-07-30,19.260221
2003-07-31,19.100393
2003-08-01,19.096928
2003-08-04,19.152515
2003-08-05,18.973585
2003-08-06,18.944052
2003-08-07,19.056969
2003-08-08,19.116035
2003-08-11,19.300171
2003-08-12,19.381819
2003-08-13,19.395723
2003-08-14,19.671932
2003-08-15,19.62676
2003-08-18,19.899506
2003-08-19,19.856071
2003-08-20,19.819597
2003-08-21,19.856071
2003-08-22,19.741425
2003-08-25,19.661507
2003-08-26,19.559017
2003-08-27,19.59376
2003-08-28,19.708408
2003-08-29,19.729258
2003-09-02,20.028059
2003-09-03,20.29038
2003-09-04,20.266052
2003-09-05,20.306005
2003-09-08,20.396338
2003-09-09,20.436298
2003-09-10,20.229568
2003-09-11,20.342487
2003-09-12,20.429346
2003-09-15,20.488411
2003-09-16,20.691664
2003-09-17,20.82716
2003-09-18,21.046055
2003-09-19,20.967873
2003-09-22,20.731617
2003-09-23,20.778526
2003-09-24,20.677759
2003-09-25,20.411972
2003-09-26,20.325123
2003-09-29,20.585691
2003-09-30,20.325123
2003-10-01,20.992189
2003-10-02,20.959192
2003-10-03,21.264936
2003-10-06,21.487293
2003-10-07,21.45429
2003-10-08,21.365688
2003-10-09,21.513346
2003-10-10,21.603687
2003-10-13,21.81736
2003-10-14,21.932016
2003-10-15,21.723553
2003-10-16,21.853846
2003-10-17,21.740927
2003-10-20,21.973707
2003-10-21,21.89901
2003-10-22,21.685333
2003-10-23,21.410858
2003-10-24,21.452553
2003-10-27,21.548098
